	sponsor	cosponsor	count
0	Del. Moylan, James C. [R-GU-At Large]	Del. Radewagen, Aumua Amata Coleman [R-AS-At Large]	2
1	Del. Moylan, James C. [R-GU-At Large]	Rep. Bacon, Don [R-NE-2]	1
2	Del. Moylan, James C. [R-GU-At Large]	Rep. Biggs, Andy [R-AZ-5]	1
3	Del. Moylan, James C. [R-GU-At Large]	Rep. Buck, Ken [R-CO-4]	1
4	Del. Moylan, James C. [R-GU-At Large]	"Rep. Carter, Earl L. ""Buddy"" [R-GA-1]"	1
5	Del. Moylan, James C. [R-GU-At Large]	Rep. Davis, Donald G. [D-NC-1]	1
6	Del. Moylan, James C. [R-GU-At Large]	Rep. De La Cruz, Monica [R-TX-15]	1
7	Del. Moylan, James C. [R-GU-At Large]	Rep. Donalds, Byron [R-FL-19]	1
8	Del. Moylan, James C. [R-GU-At Large]	Rep. Fitzpatrick, Brian K. [R-PA-1]	1
9	Del. Moylan, James C. [R-GU-At Large]	Rep. Gonzales, Tony [R-TX-23]	1
10	Del. Moylan, James C. [R-GU-At Large]	Rep. Harshbarger, Diana [R-TN-1]	1
11	Del. Moylan, James C. [R-GU-At Large]	Rep. Mace, Nancy [R-SC-1]	1
12	Del. Moylan, James C. [R-GU-At Large]	Rep. McCaul, Michael T. [R-TX-10]	1
13	Del. Moylan, James C. [R-GU-At Large]	Rep. Norman, Ralph [R-SC-5]	1
14	Del. Moylan, James C. [R-GU-At Large]	Rep. Nunn, Zachary [R-IA-3]	1
15	Del. Moylan, James C. [R-GU-At Large]	Rep. Peltola, Mary Sattler [D-AK-At Large]	1
16	Del. Moylan, James C. [R-GU-At Large]	Rep. Valadao, David G. [R-CA-22]	1
17	Del. Moylan, James C. [R-GU-At Large]	Rep. Wagner, Ann [R-MO-2]	1
18	Del. Moylan, James C. [R-GU-At Large]	Rep. Wilson, Joe [R-SC-2]	1
19	Del. Moylan, James C. [R-GU-At Large]	Rescom. González-Colón, Jenniffer [R-PR-At Large]	3
20	Del. Norton, Eleanor Holmes [D-DC-At Large]	Rep. Brown, Shontel M. [D-OH-11]	1
21	Del. Norton, Eleanor Holmes [D-DC-At Large]	Rep. Garcia, Robert [D-CA-42]	1
22	Del. Norton, Eleanor Holmes [D-DC-At Large]	Rep. Gomez, Jimmy [D-CA-34]	1
23	Del. Norton, Eleanor Holmes [D-DC-At Large]	Rep. Lee, Barbara [D-CA-12]	1
24	Del. Norton, Eleanor Holmes [D-DC-At Large]	Rep. Mfume, Kweisi [D-MD-7]	1
25	Del. Norton, Eleanor Holmes [D-DC-At Large]	Rep. Porter, Katie [D-CA-47]	1
26	Del. Norton, Eleanor Holmes [D-DC-At Large]	Rep. Schiff, Adam B. [D-CA-30]	1
27	Del. Norton, Eleanor Holmes [D-DC-At Large]	Rep. Sherman, Brad [D-CA-32]	1
28	Del. Norton, Eleanor Holmes [D-DC-At Large]	Rep. Takano, Mark [D-CA-39]	1
29	Del. Norton, Eleanor Holmes [D-DC-At Large]	Rep. Torres, Ritchie [D-NY-15]	1
30	Del. Norton, Eleanor Holmes [D-DC-At Large]	Rep. Watson Coleman, Bonnie [D-NJ-12]	1
31	Del. Plaskett, Stacey E. [D-VI-At Large]	Rep. Estes, Ron [R-KS-4]	1
32	Del. Sablan, Gregorio Kilili Camacho [D-MP-At Large]	Del. Moylan, James C. [R-GU-At Large]	1
33	Rep. Adams, Alma S. [D-NC-12]	Del. Norton, Eleanor Holmes [D-DC-At Large]	1
34	Rep. Adams, Alma S. [D-NC-12]	Rep. Beatty, Joyce [D-OH-3]	1
35	Rep. Adams, Alma S. [D-NC-12]	Rep. Bonamici, Suzanne [D-OR-1]	1
36	Rep. Adams, Alma S. [D-NC-12]	Rep. Bowman, Jamaal [D-NY-16]	1
37	Rep. Adams, Alma S. [D-NC-12]	Rep. Brown, Shontel M. [D-OH-11]	1
38	Rep. Adams, Alma S. [D-NC-12]	Rep. Bush, Cori [D-MO-1]	1
39	Rep. Adams, Alma S. [D-NC-12]	Rep. Carson, Andre [D-IN-7]	1
40	Rep. Adams, Alma S. [D-NC-12]	Rep. Cherfilus-McCormick, Sheila [D-FL-20]	1
41	Rep. Adams, Alma S. [D-NC-12]	Rep. Crockett, Jasmine [D-TX-30]	1
42	Rep. Adams, Alma S. [D-NC-12]	Rep. Cárdenas, Tony [D-CA-29]	1
43	Rep. Adams, Alma S. [D-NC-12]	Rep. Davis, Donald G. [D-NC-1]	1
44	Rep. Adams, Alma S. [D-NC-12]	Rep. Frost, Maxwell [D-FL-10]	1
45	Rep. Adams, Alma S. [D-NC-12]	Rep. Horsford, Steven [D-NV-4]	1
46	Rep. Adams, Alma S. [D-NC-12]	Rep. Jackson Lee, Sheila [D-TX-18]	1
47	Rep. Adams, Alma S. [D-NC-12]	Rep. Jackson, Jonathan L. [D-IL-1]	1
48	Rep. Adams, Alma S. [D-NC-12]	"Rep. Johnson, Henry C. ""Hank,"" Jr. [D-GA-4]"	1
49	Rep. Adams, Alma S. [D-NC-12]	Rep. Lee, Barbara [D-CA-12]	1
50	Rep. Adams, Alma S. [D-NC-12]	Rep. McClellan, Jennifer L. [D-VA-4]	1
51	Rep. Adams, Alma S. [D-NC-12]	Rep. McGovern, James P. [D-MA-2]	1
52	Rep. Adams, Alma S. [D-NC-12]	Rep. Mfume, Kweisi [D-MD-7]	1
53	Rep. Adams, Alma S. [D-NC-12]	Rep. Nickel, Wiley [D-NC-13]	1
54	Rep. Adams, Alma S. [D-NC-12]	Rep. Payne, Donald M., Jr. [D-NJ-10]	1
55	Rep. Adams, Alma S. [D-NC-12]	Rep. Ross, Deborah K. [D-NC-2]	1
56	Rep. Adams, Alma S. [D-NC-12]	Rep. Schiff, Adam B. [D-CA-30]	1
57	Rep. Adams, Alma S. [D-NC-12]	Rep. Sewell, Terri A. [D-AL-7]	1
58	Rep. Adams, Alma S. [D-NC-12]	Rep. Sánchez, Linda T. [D-CA-38]	1
59	Rep. Adams, Alma S. [D-NC-12]	Rep. Thanedar, Shri [D-MI-13]	1
60	Rep. Adams, Alma S. [D-NC-12]	Rep. Trone, David J. [D-MD-6]	1
61	Rep. Adams, Alma S. [D-NC-12]	Rep. Watson Coleman, Bonnie [D-NJ-12]	1
62	Rep. Adams, Alma S. [D-NC-12]	Rep. Wilson, Frederica S. [D-FL-24]	1
63	Rep. Aderholt, Robert B. [R-AL-4]	Rep. Carl, Jerry L. [R-AL-1]	1
64	Rep. Aderholt, Robert B. [R-AL-4]	"Rep. Carter, Earl L. ""Buddy"" [R-GA-1]"	1
65	Rep. Aderholt, Robert B. [R-AL-4]	Rep. Cartwright, Matt [D-PA-8]	1
66	Rep. Aderholt, Robert B. [R-AL-4]	Rep. Cherfilus-McCormick, Sheila [D-FL-20]	1
67	Rep. Aderholt, Robert B. [R-AL-4]	Rep. Cleaver, Emanuel [D-MO-5]	1
68	Rep. Aderholt, Robert B. [R-AL-4]	Rep. Costa, Jim [D-CA-21]	1
69	Rep. Aderholt, Robert B. [R-AL-4]	Rep. Craig, Angie [D-MN-2]	1
70	Rep. Aderholt, Robert B. [R-AL-4]	Rep. D'Esposito, Anthony [R-NY-4]	1
71	Rep. Aderholt, Robert B. [R-AL-4]	Rep. Davis, Donald G. [D-NC-1]	1
72	Rep. Aderholt, Robert B. [R-AL-4]	Rep. DeSaulnier, Mark [D-CA-10]	1
73	Rep. Aderholt, Robert B. [R-AL-4]	Rep. Johnson, Dusty [R-SD-At Large]	1
74	Rep. Aderholt, Robert B. [R-AL-4]	"Rep. Johnson, Henry C. ""Hank"" [D-GA-4]"	1
75	Rep. Aderholt, Robert B. [R-AL-4]	Rep. Krishnamoorthi, Raja [D-IL-8]	1
76	Rep. Aderholt, Robert B. [R-AL-4]	Rep. Nickel, Wiley [D-NC-13]	1
77	Rep. Aderholt, Robert B. [R-AL-4]	Rep. Quigley, Mike [D-IL-5]	1
78	Rep. Aderholt, Robert B. [R-AL-4]	Rep. Spanberger, Abigail Davis [D-VA-7]	1
79	Rep. Aderholt, Robert B. [R-AL-4]	Rep. Suozzi, Thomas R. [D-NY-3]	1
80	Rep. Aderholt, Robert B. [R-AL-4]	Rep. Tenney, Claudia [R-NY-24]	1
81	Rep. Aderholt, Robert B. [R-AL-4]	Rep. Thanedar, Shri [D-MI-13]	1
82	Rep. Aderholt, Robert B. [R-AL-4]	Rep. Wagner, Ann [R-MO-2]	1
83	Rep. Aderholt, Robert B. [R-AL-4]	Rep. Wasserman Schultz, Debbie [D-FL-25]	1
84	Rep. Aderholt, Robert B. [R-AL-4]	Rep. Wilson, Joe [R-SC-2]	1
85	Rep. Aguilar, Pete [D-CA-33]	Rep. Evans, Dwight [D-PA-3]	1
86	Rep. Aguilar, Pete [D-CA-33]	Rep. Gomez, Jimmy [D-CA-34]	1
87	Rep. Aguilar, Pete [D-CA-33]	Rep. Grijalva, Raúl M. [D-AZ-7]	1
88	Rep. Aguilar, Pete [D-CA-33]	Rep. Meng, Grace [D-NY-6]	1
89	Rep. Aguilar, Pete [D-CA-33]	Rep. Watson Coleman, Bonnie [D-NJ-12]	1
90	Rep. Aguilar, Pete [D-CA-33]	Rescom. González-Colón, Jenniffer [R-PR-At Large]	1
91	Rep. Allen, Rick W. [R-GA-12]	Rep. Bishop, Sanford D., Jr. [D-GA-2]	1
92	Rep. Allen, Rick W. [R-GA-12]	"Rep. Carter, Earl L. ""Buddy"" [R-GA-1]"	1
93	Rep. Allen, Rick W. [R-GA-12]	Rep. Clyde, Andrew S. [R-GA-9]	1
94	Rep. Allen, Rick W. [R-GA-12]	Rep. Collins, Mike [R-GA-10]	1
