	sponsor	cosponsor
0	Rep. Garcia, Mike [R-CA-27]	Rep. Panetta, Jimmy [D-CA-19]
1	Rep. Garcia, Mike [R-CA-27]	Rep. Swalwell, Eric [D-CA-14]
2	Rep. Garcia, Mike [R-CA-27]	Rep. Obernolte, Jay [R-CA-23]
3	Rep. Garcia, Mike [R-CA-27]	Rep. Valadao, David G. [R-CA-22]
4	Rep. Garcia, Mike [R-CA-27]	Rep. Issa, Darrell E. [R-CA-48]
5	Rep. Garcia, Mike [R-CA-27]	Rep. Thompson, Mike [D-CA-4]
6	Rep. Garcia, Mike [R-CA-27]	Rep. Garamendi, John [D-CA-8]
7	Rep. Garcia, Mike [R-CA-27]	Rep. Costa, Jim [D-CA-21]
8	Rep. Garcia, Mike [R-CA-27]	Rep. Kim, Young [R-CA-40]
9	Rep. Garcia, Mike [R-CA-27]	Rep. Peters, Scott H. [D-CA-50]
10	Rep. Garcia, Mike [R-CA-27]	Rep. DeSaulnier, Mark [D-CA-10]
11	Rep. Garcia, Mike [R-CA-27]	Rep. Matsui, Doris O. [D-CA-7]
12	Rep. Garcia, Mike [R-CA-27]	Rep. Kiley, Kevin [R-CA-3]
13	Rep. Garcia, Mike [R-CA-27]	Rep. Correa, J. Luis [D-CA-46]
14	Rep. Garcia, Mike [R-CA-27]	Rep. Napolitano, Grace F. [D-CA-31]
15	Rep. Garcia, Mike [R-CA-27]	Rep. Lee, Barbara [D-CA-12]
16	Rep. Garcia, Mike [R-CA-27]	Rep. McClintock, Tom [R-CA-5]
17	Rep. Garcia, Mike [R-CA-27]	Rep. Schiff, Adam B. [D-CA-30]
18	Rep. Garcia, Mike [R-CA-27]	Rep. Porter, Katie [D-CA-47]
19	Rep. Garcia, Mike [R-CA-27]	Rep. Calvert, Ken [R-CA-41]
20	Rep. Garcia, Mike [R-CA-27]	Rep. Harder, Josh [D-CA-9]
21	Rep. Garcia, Mike [R-CA-27]	Rep. Carbajal, Salud O. [D-CA-24]
22	Rep. Garcia, Mike [R-CA-27]	Rep. Garcia, Robert [D-CA-42]
23	Rep. Garcia, Mike [R-CA-27]	Rep. Chu, Judy [D-CA-28]
24	Rep. Garcia, Mike [R-CA-27]	Rep. LaMalfa, Doug [R-CA-1]
25	Rep. Garcia, Mike [R-CA-27]	Rep. Pelosi, Nancy [D-CA-11]
26	Rep. Garcia, Mike [R-CA-27]	Rep. Duarte, John S. [R-CA-13]
27	Rep. Garcia, Mike [R-CA-27]	Rep. Jacobs, Sara [D-CA-51]
28	Rep. Garcia, Mike [R-CA-27]	Rep. Sherman, Brad [D-CA-32]
29	Rep. Garcia, Mike [R-CA-27]	Rep. Barragan, Nanette Diaz [D-CA-44]
30	Rep. Garcia, Mike [R-CA-27]	Rep. Takano, Mark [D-CA-39]
31	Rep. Garcia, Mike [R-CA-27]	Rep. Steel, Michelle [R-CA-45]
32	Rep. Garcia, Mike [R-CA-27]	Rep. Aguilar, Pete [D-CA-33]
33	Rep. Garcia, Mike [R-CA-27]	Rep. Brownley, Julia [D-CA-26]
34	Rep. Garcia, Mike [R-CA-27]	Rep. Levin, Mike [D-CA-49]
35	Rep. Garcia, Mike [R-CA-27]	Rep. Gomez, Jimmy [D-CA-34]
36	Rep. Garcia, Mike [R-CA-27]	Rep. Lofgren, Zoe [D-CA-18]
37	Rep. Garcia, Mike [R-CA-27]	Rep. Vargas, Juan [D-CA-52]
38	Rep. Garcia, Mike [R-CA-27]	Rep. Mullin, Kevin [D-CA-15]
39	Rep. Garcia, Mike [R-CA-27]	Rep. Kamlager-Dove, Sydney [D-CA-37]
40	Rep. Garcia, Mike [R-CA-27]	Rep. Sánchez, Linda T. [D-CA-38]
41	Rep. Garcia, Mike [R-CA-27]	Rep. Lieu, Ted [D-CA-36]
42	Rep. Garcia, Mike [R-CA-27]	Rep. Huffman, Jared [D-CA-2]
43	Rep. Garcia, Mike [R-CA-27]	Rep. Bera, Ami [D-CA-6]
44	Rep. Garcia, Mike [R-CA-27]	Rep. Khanna, Ro [D-CA-17]
45	Rep. Garcia, Mike [R-CA-27]	Rep. Cárdenas, Tony [D-CA-29]
