V240001	V241172 - PRE: What does R dislike about the Democratic party [text]
140001	way to radical for me in every way for me on every topic!
140003	Not wielding their power effectively
140005	live birth murder, border security, economy, illegals receiving benefits, tax payer trans surgeries
140014	Lack of transparency and chaos
140016	immagration, crime, cost of living
140017	lack of movement on immigration.
140018	sometimes they can be too liberal and spend irresponsibly
140021	The free handouts are decimating USA based industry, both large and small companies. Why go to work if you can sit at home and collect free handouts.
140023	General spinelessness and kowtowing to corporate interests, the military-industrial complex, and genociders, but honestly, this is not the focus of my political attention at the moment so it is tough to fully answer this question. Ask me after the election.
140028	Hypocrisy. They complain about things and then turn around and do the same thing.
140029	Shifting too far left of center
140032	The existence of a political party in any form supposes they are somehow important. The government should not exist at all outside of a very narrow band of duties and should not appear or be held up as an authority worthy of a human beings attention or resources.
140033	some social programs too generous, welfare system should be adjusted to account for eligible workers, we need tighter border restrictions, and student loan forgiveness too generous and not fair for those who paid off their loans at expense of delaying starting a family or buying a home
140034	immigartion policies are horrendous, soft on crime, terrible economic policy
140035	the extreme left
140038	Inept at winning elections, passing policy, and at communicating with their base. Interested in preserving USA hegemony and will use military resources to do so. Won't do enough to curb major issues in american politics stemming from current campaign finance structures and laws around lobbying. Won't do enough economically to lessen growing weath inequity.
140040	[CHAR(10)][CHAR(10)][CHAR(10)][CHAR(10)][CHAR(10)][CHAR(10)]They seem to hate this country, and the principles it was founded on.[CHAR(10)][CHAR(10)][CHAR(10)][CHAR(10)]
140041	same as last answer. maybe I read the last question wrong.
140043	abortion
140044	Lack of job creation. We are in a recession
140046	I don't agree with them
140048	unorganized, not effective
140049	failed to improve the economy, encouraged abortion
140050	Sometimes they focus too much on a particular voting block or issue, to the detriment of other equally or more deserving groups within the party.
140052	While I support Israel's right to a threat-free existence, I do not like the way the Democratic party seems to turn a blind eye to the indiscriminate killing, by the Israelis, of innocent Palestinian and Lebanese civilians.
140055	I would like abortion to have some limits. Not to be able to use abortion as a form of birth control.
