V240001	V241176 - PRE: What does R dislike about the Republican party [text]
140003	Everything on their agenda is repellent to me. Their disregard for a woman's right to privacy and to govern her own body is abhorrent. [CHAR(10)]Their desire to keep lowering taxes and protect the wealthy instead of forcing the riches among us to pay their fair share is irresponsible and immoral.[CHAR(10)]
140005	rhinos, taxes,
140006	They are cult followers who care about one man rather than the country. they are all weak and a disgrace like scared rabbits
140012	they are all about money, and making sure the rich get richer
140013	i dont know i dont care about politics and fake news
140014	Everything as it has become the Trump party lacking a conscious.
140017	their positions on women's healthcare, election fraud claims, plans to strip social security, as well as remove EPA, dept of education.
140018	greed, cater to the rich, single-minded view of who is a real American
140019	Way too ideological.
140023	Backwards/unproductive stances and policies for crime, prisons, schools, retirement, environmental regulations, taxation, abortion and reproductive rights, an independent and unbiased judiciary, erosion of long-standing norms for nomination of Supreme Court justices, xenophobic rhetoric, advocacy on behalf of hostile foreign governments, advocacy on behalf of hostile domestic institutions and corporations, and almost everything else except Ukraine aid, and even then it's lukewarm.
140026	They have abandoned truth and honesty in favor of a cult following
140029	Total loss of a conservative identity with a cult of Trump
140032	The existence of a political party in any form supposes they are somehow important. The government should not exist at all outside of a very narrow band of duties and should not appear or be held up as an authority worthy of a human beings attention or resources.
140033	the Republican party has become more extreme with their agenda proposing anti LGBTQ laws and book bans, the GOP is anti-science, too restrictive of woman's rights, white nationalism and infusion of religious doctrine is entering into government, the GOP is becoming too isolationist by waning support of Ukraine and NATO, and they are in complete denial of human caused climate change
140034	they do a poor job getting out the vote
140035	way too many right wing extremists
140037	THEY DO NOT CARE ABOUT THE LEAST OF PEOPLE'S NEEDS IN THIS SOCIETY
140038	Traditional values" aka transphobia, homophobia, misogyny. Belief in deregulation of the market. Cutting taxes for billionaires. Anti-abortion. Locally in Ohio, very interested in consolidating power by any means necessary incl. gerrymandering districts. "
140039	abortion stance, book bans, anti- transgender people, anti-gay, anti-immigrant, lack of support for a social safety net - to name a few
140041	How divided it is right now and how the far extreme seems to be what people think represent the Republican Party of today.
140043	spend too much money
140044	Their stance on anti abortions
140048	morally bankrupt, follow crazy politicians
140050	They refuse to compromise on any issue when they don't get their way. That's not how politics works. They act like a bunch of spoiled brats who will throw a temper tantrum to show how mad they are.
140052	They seem to have abandoned all morality and ideals in order to support a man, Trump, and not the rule of law or the constitution. Also, they seem to have become believers in ridiculous conspiracy theories.
140053	not happy with anything
140055	They let Trump be their candidate when they have people like Mike Pence that they could have nominated. There are other republican candidates that would have also been good candidates.
140056	SK
140060	their general lack of caring. it’s all about religion and their point of view
140061	their ambition stance, their opposition to health care, their attempt to overturn the élections, their policy on immigration
140062	I do not like the way they vote on most hot button issues/legislation. They also seem to care only about themselves and their wealthy friends.
140063	Abortion Restrictions
140065	they say their for the conservative lifestyle but have cowardly backed trump.
140066	It represents the interests of rich, white men. It's policies are racist and anti-woman.
140067	Many seem more interested in power than governing. Threats to democracy like Jan 6. Policies that hasten climate change instead of slowing it down. Keeping us from having a public health care system like our global peers.
140070	Rude and all for the rich people.
140072	they go along with what trump tells them example the border bill he told them not to approve
140076	 I dislike Donald Trump and the new MAGA Republican Party, the old GOP was just the other team""
140077	I don't like politicians but someone has to do it.
140079	project 2025 plan to destroy democracy
140081	disrespectful arrogant behavior
140082	They pander to people who vote against their own interests
140083	They are all too old or too immature to actually focus on the things that matter most to Americans. They try to hide their agenda in bills before voting to pass them or they block them altogether. They are not using their platform for America and are too busy protecting their ego or fighting amongst themselves. They are blinded by Donald Trump and ignoring the extremely unethical Supreme Court! Most of them make money on the stock market due to insider, confidential information or line their pockets with lobby money.
140086	They're regression.
140088	ban on abortion
140092	going along with trump on issues when they know he is wrong!
140093	The evangelical wing
140095	Lack of will for gun control. Completely abandoning previous values to side with the Trump power play, i.e., selling out. Disregard for the environment. Lack of respect for women's reproductive rights. Lack of fiscal responsibility. Blocking any chance of bipartisanship for fear of upsetting Trump.
140096	does not care about the people. cares about liea and fighting
140101	Their views on abortion, LGBTQ+ communities, their focus on the wealthy.
140103	out of control spending. [CHAR(10)][CHAR(10)]
140105	neither of them can work together to the good of the people
140107	They generally don't stand up for what they say they believe in. When it comes to taking a true stand or going along with the Democrats on spending, they cave and go along with a compromise that overly favors the Democrats spending.
140108	SEVERAL PEOPLE WITHIN THE PARTY
140112	They some times fight amoung there self,,
140115	They are hostile and not for the average American. Their campaigns are based on hatred of immigrants and non white Americans.
140116	They don't stick together.
140117	The fact that they are only for themselves.. This party literally wants our country to consist of rich or poor people. Lesser taxes for the rich??? Are you kidding me. Give us(Middle class) a break!
140120	language ,brazen actions,people’s rights
140124	Largely, they value pro life choices, tax cuts for the wealthy, hard immigration laws
140126	Stance on abortion, climate control, women’s rights, aid to the needy.
140127	Donald trump and every follower
140128	too extreme currently
140129	Good presidential options.
140131	Inability to take a unified position on certain legislative issues and what I see as poor leadership.
140132	they are building a theocratic empire
140133	RINOs
140134	They all got in line behind Donald Trump for a power grab to the detriment of the US. Push the narrative of a rigged election, not holding accountable Trump for his part in insurrection Jan 6th, and also failing to remove him from office with 2nd impeachment.
140136	Following party lines to get re-elected.
140139	again if your rich then that’s the party for you. just my opinion.
140141	ultra conservative views that impact the safety and wellbeing of people who don’t look like them or believe in what they believe
140142	The republican party has always been about themselves and not the American people. They are helping the house pass laws on women not being able to get abortions. Hence the Roe vs Wade which was a terrible decision for women. How can a bunch of men tell a woman about her own body. We need a solution to these politicians ASAP !
140143	extremists
140144	I'm nervous/scared by the MAGA white supremacist vibes of the Republican party. Policy-wise, they seem interested in creating a society where women should only be focused on being mothers and can't have autonomy over their bodies, and where corporations should be in charge of regulating themselves. I don't want to live in their version of America.
140146	what used to be a party of principles has fallen to being a party of chaos and infighting who’s goal is to be louder and more outrageous than anyone else
140149	Failure to cut spending and control the deficit
140151	fractured not working together
140152	Unwilling to compromise or 'talk across the aisle' to come to logical agreements that benefit citizens/our country, not just their party line.
140156	not getting things done
140157	survey so you will know what the world's views are
140158	Their current presidential candidate wants to establish a dictatorship, has incited a riot over last presidential results and he is still being supported by the Republican party. The Republican party seems intent on mainstreaming conspiracy theories, harboring homophobic, racist and sexist ideas, enabling wealthy Americans to get richer while punishing working class Americans in spite of talks to the contrary. The Republican party is intent on reversing hard fought gains for women and minorities.
140159	I don't know what their platform is anymore. You can't be the party of small government," then ban books, dictate what people can wear, regulate marriage, enforce religious iconography in public places, and interfere with medical treatments. They have no idea who they are, and it shows in the behavior and backgrounds of most of their representatives. "
140161	foreverything[CHAR(10)]policies on our allies
140162	some are just as corrupt as their rivals
140163	Every thing it represents!!!!
140167	they are allowing a criminal run for president
140168	they have totally sold out to Trump. I used to respect the party even if I didn't always agree with them. Now I hope for their demise.
140169	Enough said.
140173	inability to set a realistic abortion policy- i.e. a date of 16 weeks (or other date)
140175	some members are too concerned about their political agendas
140176	They’re corrupted by donald trump and they are usually bigoted
140177	Abortion stance, gun control, economy, foreign policies
140180	They are trying to take away values I respect.
140181	Embracing Donald Trump who is the most incompetent and dishonest person to be the next president! All about being in POWER!!
140185	They seem problematic
140187	They match my beliefs.
140188	they are not governing.
140189	backward looking; isolationist; small minded; caved to Trump; motivated by resentment
140191	The Republican Party is now representated by white supremists, extremists, conspiracy theorists, and racists. It is not the party I grew up in and nor one I want to be associated with.
140192	Their nominee and his sycophants that trying institute a racist, elitist agenda
140199	The party caters to the worst instincts of human nature
