V240001	V241170 - PRE: What does R like about Democratic party [text]
140003	Advocacy for reproductive rights, LGBTQ rights, generally progressive policies
140006	They care about this country, citizens and democracy
140012	They care more about people than money
140014	A an inclusive vision for the future
140017	Position on women rights, improving health care in the country (accessibility)
140018	looking out for all Americans. not greedy and trying to just cater to the rich
140019	They would do a better job of governing and compromising with the other party to get things done.
140023	While their policies are not all productive or something I agree with, they check off more boxes and if we only have two choices, they are clearly the better one.
140026	SK
140033	freedom of choice, reverence for scientific institutions, social equality, rights of citizens over big corporations, social justice, willingness to implement pro climate policies
140035	support of individual liberties
140037	THEY CARE ABOUT THE PEOPLE'S INSTEAD OF THEIR POCKETS BEING FILED UP.
140038	Will let me cling on to some rights that I enjoy like womens equal rights, LGBTQ+ rights. Maybe gun control. Maybe nationalized health care. These are possibilities.
140039	support for a woman's right to choose, for a social safety net, for freedom of choice in reading materials, for gay rights, for transgender care, for universal health care - to start with
140041	Values and economic policies and how divisive they are right now. Pushing too many agendas that should not be glorified and should not be government issues.
140044	Pro Choice for aboration
140050	I think the Democratic Party attempts to find ways that positively impact all facets of our society, not just the wealthy or powerful.
140052	What I like about the Democrats is because they seem to put the well-being of the country and the people of the United States above adherence to party or individual people. Democrats, while not perfect, tend toward serving the greatest good for the average American.
140054	oh my where do I start? Immigration, crime, inflation
140055	They have always been more for the people, not for big corporations.
140056	try to make the country a better place
140060	for the most part the democrats align with my views. help for all, low taxes, no stringent immigration laws, pro choice that kind of thing
140061	it isn't about the party as a whole and it is on one specific issue, and terrible important one to me, the killing of 40,000 Palestiniens. I think Biden's support of Netanyahu was shocking. I find it equally shocking that we vote in the United Nations the way we do with respect to the Middle East. We like to think that we are leaders of the world. In this issue, we lead" 1/2 doz people and are opposed by almost all nations in the world."
140062	They sometimes introduce legislation and vote in ways to help the American people. They also take lobbying money but in general, they seem to care more about the people.
140063	Protection of social programs
140065	they’re trying to bring the country together before the trump era.
140066	It supports unions and keeps religion out of policy making.
140067	Action on climate. Women's rights. Movement toward racial equity. Labor rights.
140068	abortion student loan forgiveness
140070	They are more caring/
140072	the are trying to help our country
140076	Acceptance of all people, inclusive. the advancement of people of color the money for helping people improve their station in life not just get by" the willingness the acknowledge the desperate need for revenue to help families pay the horrendous child-care for working parents."
140077	Visionary but they don't care about the cost.
140078	the democrats r for the people ...
140079	support for individual right
140081	respectful professional behavior
140082	Congress tries to pur some things into action for the well being of the American voters
140083	They are trying to work for the people and get laws passed that will help change things for the better, including abortion, women's rights, healthcare, senior care, medicine, economy, and immigration.
140088	women’s rights
140092	they are more about helping people!
140095	The support for workers, abortion rights and protecting the environment.
140096	care about people. cares about health care
140097	Less lies, less dirty tricks, more willing to cooperate with opponents.
140098	they care about minorities
140101	They seem to be more for the people"...accepting of differences and individual choice for women and Americans."
140110	Damacrats clasified any people disagree with DNC will nor be tolerated
140114	doesnt think about middle and upper class , only the poor
140115	They are for the people not the rich and corporations.
140120	fairness,compassion help others,giving
140124	Focus on pro choice, values the public education system, form avenues for immigration, give back to the middle class, LGBTQ+ rights.
140126	Stance on abortion, LBGTQ rights, climate control, helping the needy.
140128	Stands for working families as opposed to the republican party
140131	Their position to legalize marijuana and some of their environmental positions
140132	they sometimes try to fight for the middle class
140134	They have a better stance on immigration, even though they can't or didn't execute on it. People forget we are all immigrants.
140136	Following party lines to get elected. A party that says they are for the worker then gives money to those that will not work.
140139	I have been a Democrat my hole life I believe that they are for the people and not what they can gain for themselves.
140142	The democratic party wants and are helping time America people. To me they are doing their best to go against the republican party by helping the low and middle class families. Working on pollution too help ease the global warming that is really destroying our earth.
140143	a general goodwill to help people
140144	They generally care and are serious about policy, they are protective of abortion and other healthcare rights, are more progressive about gender and racial equity, have excellent nominees to the Supreme Court. They are more apt to have empathy for Palestinians, though the party could improve on that front.
140146	making the government work for everyday people
140147	traditional support of labor
140152	Willing to address sensitive issues such as gun control, women's rights, immigration, college loans, social programs
140158	 The Democratic Party is in favor of freedom for everyone with common sense controls such as gun control to maximize safety for everybody. The Democratic Party is in favor of moving the American society forward instead of backwards. The Democratic Party is in favor of preserving democracy in the US as well as helping to establish democracy throughout the world where people make decisions as individuals and not the government.
140159	They tend to support social safety net programs, prison reform, and medical access.
140161	domestic issues
140163	The party is trying to America to feel about[CHAR(10)]itself and all Americans to feel good about[CHAR(10)]them selfs.
140166	SK
140168	Support of education, unions, diversity, reproductive freedom, taxing the rich fairly
140169	I think it has done a decent job standing up to the threat posed by The Donald.
140173	current support of Ukraine and Isreal - not sure that is specifically Democrat Party
140177	Handling of economy, women's health issues and climate control
140180	Protecting democracy
140181	Working across the aisle to get things done for the American people! Positive outlook for ALL people! Pro-choice!
140185	They seem to be honest and hardworking
140188	they believe in law and order also pro life.
140189	inclusive; diverse; more focused on addressing climate change
140191	The Democratic Party seems to have less extremists and less violent members than the Republican Party.
140192	They stand for the freedoms given to us by the Constitution. Their positions are a variety of issues are in agreement with mine
140199	drug policy and environmental issues.
140203	Policies on abortion, taxes, voting rights. Wants to hold the Supreme Court accountable. Advocacy for women, LGBTQ, racial minorities.
140204	policies on immigration, gun control, public health, education
140205	I believe in equal treatment of people regardless of gay, straight etc.
140206	views on abortion.
140210	they nice to people
140212	For the most part they tend to tell the truth, they are looking to better America like it was Pre- trump.The last 8 years our country has become numb to hate and rhetoric and it is seen as the new norm. It is NOT! Time for our country to unite again.
140213	I do feel like they fight for better health care and coverage for people.
140214	values align. is willing to do more for the “common man”
140217	Soft on immigration, have their own lobbyist agenda. They are not Americans. They are Socialists.
140218	somewhat leftist
140219	Economics, Diversity, Democracy
140220	they are trying to help more people to get out of poverty.
140222	Humanitarian issues in general
140223	seem to be for the every day person not the super wealthy. [CHAR(10)]rights to our bodies
140224	Support of Middle class - taxation[CHAR(10)]Immigration
140225	everything is a knee jerk reaction and not analytical
140226	I'm not sure who they are trying to help.
140227	abortion rights, immigration policy, social welfare programs,
140229	 they are more open to all
140231	I like that the Democratic party looks out for people more and pushes things like sustainability and environmental care.
140232	Focus on social and environmental issues.
140236	Their support for women and familes.
140239	I believe they look out for the people.They listen to are questions and concerns and they put us first.[CHAR(10)]And I like the fact that they will do what's right for the economy
140243	Serves as a check" against GOP excesses. "
140245	There trying to solve real problems for the betterment of are country and save are democracy from the fascist right intent on destroying it.
140251	YES THEY ARE TRYING VERY HARD TO BRING THE COUNTRY TOGETHER.
140252	candidates views
140254	The are pro choice, reducing climate change, helping fixing healthcare crisis, keeping social security.
140258	the quest for equality regardless of race, sex, or identity
140260	they represent what our democracy stands for
