V240001	V241110 - PRE: What is it that R likes about Democratic Presidential candidate [text]
140003	She is a woman who advocates for reproductive rights and will defend our democracy from the far right.
140006	She is a proven leader who cares about this country and democracy
140012	She seems to be a good person with decent morals and values
140014	She is the best candidate on the ballot.
140017	Strong record as a prosecutor in California, especially in regards to crime and consumer protection.
140018	logical, work with both parties, try to find solutions to real problems
140019	Ms. Harris supports abortion rights. Should a Supreme Court opening occur, she would nominate a more open minded justice to the bench. She would do what is best for the country versus what is best for her herself. She nominated someone who is a much better vice presidential choice than the other candidate. I liked that she was an attorney general versus a billionaire. She has a better position on gun control then the other candidate.
140023	She is not over 80 years old, and she seems to want to continue the tradition of voting, unlike her electoral opponent.
140026	She sticks to facts and is in favor of programs for working people
140029	Not Trump, Not Biden
140030	not to take away women's rights
140033	she's smart, driven, articulate, understands social issues, advocates for women's right to choose, cares for the environment and recognizes HUMAN caused climate change, advocates for low and middle class workers, recognizes the many inequalities in the US, pragmatic about the war in Gaza, she understands US history,
140035	I like that her group of advisors are younger
140037	SK
140038	Knowledgable and experienced for the position, major policy goals align with mine (gun control, foreign policy, abortion), I like that she is a woman and a POC
140039	her genuine desire to do good for her country - also her broad experience in government and her sense of morality
140048	moderate, intelligent, reasonable
140050	She's a well-accomplished attorney who has held major positions (attorney general in California); is black ethnically; and from her past accomplishments is well suited to be the President of the United States.[CHAR(10)]
140052	I believe that she will preserve our democratic norms and that she will put the best interests of the country before her own interests.
140055	she is calm and collected, she does not appear to ‘makeup’ stories. She and President Biden are behind the union’s. The unions are for middle class people, for just wages and health benefits, etc [CHAR(10)].
140056	she's not Donald Trump. tries to make the world a better place
140057	don't care for trump
140060	I don’t watch too much about the issues but Harris is for eliminating student debt and she’s a woman of color and I’m ready for a change in thought hopefully in politics. might make me actually pay attention more
140061	she worked alongside President carrying out his agenda, she has had expérience at different levels of government, she is a woman
140062	She is a candidate of a major party who sees the people’s struggles (i.e., crippling student loan debt) and wants to help them. Also, because she is not Donald Trump, who is an enormous liar, crook, and horrible person. I should add that I believe that at this point, only a candidate from one of the 2 major parties has a chance of becoming president. The other parties just do not have enough voters. Therefore I must choose Harris in order to make sure Trump does not become president, even if I would consider other candidates.
140063	Salt Tax reenactment
140065	she’s not Trump for starters! she doesn’t sow division, she doesn’t spew hatred and racism and bigotry like trump does and she’s against project 2025.
140066	She is not Donald Trump. She is also acceptable to me as I am a Bernie Sanders social democrat.
140067	She wants to govern, not just win. I like her positive attitude. She cares about the environment.
140068	her policies regarding student loans forgiveness
140072	Ibeleiveshecanbetrustedwithournation[CHAR(10)]
140076	She has good background skills in government Attorney General Calif, Senator, Calif, and most important Vice President under Pres Biden for 3.5 years now. And also Donald Trump is a disaster for our country and ruined the old GOP which was not my party but certainly legitimate.
140078	she seems very honest and forth coming ...i beleave her and think she will do a great job as president
140079	anyone but Trump
140081	she is respectable and professional
140082	She has American voters best interests at heart
140083	Diversity, Inclusion, Historical Record, Experience, Abortion Rights, Women's Rights, Leadership Style, Joy, Hope for the Future
140084	she’s not Donald Trump
140086	Her de facto" getting the nomination."
140088	I believe she is sound in judgement and an articulate speaker. I stand with her on abortion rights.
140092	she isnt trump!
140095	First of all, she is not Donald Trump. After that, I feel that she has a decent resume as a senator and AG and can combine empathy with hard decision making.
140096	She is a leader. She is real. she is about family. she is about the american people. shes not a rich white guy.
140097	Genuine, open, honest enough, positive - represents my views of a future.
140101	Her viewpoints, the fact that she is a woman and a minority, her experience...I think she is a great speaker and knows and understands the value of people in our country and their struggles and what they need.
140108	SHE IS MORE INTERESTED IN HELPING THE MIDDLE CLASS AND CARES ABOUT THOSE IN THE MIDDLE CLASS.
140115	She is for the working and middle classes. She is respectful and caring. She is not a bully full of hatred. She will not divide the country like Trump did![CHAR(10)]
140117	1. She chose an awesome running mate.[CHAR(10)]2. She is from the working class.[CHAR(10)]3. She Is Black![CHAR(10)]4. She wants to move this country forwards not back!
140120	abortion,taxes,freedom,equality
140124	Stances on women’s health care, climate change, taxes, immigration to name a few.
140126	Experience in law and government [CHAR(10)]She is for women’s rights, protecting the environment, and preserving democracy
140127	Being a black intellectual woman.
140128	I like the democratic platform as opposed to that of the republicans
140132	she’s not Trump
140134	She has a J.D. and the capacity to understand how government works.
140139	She has been the VP under joe Biden for 4years and I believe she is ready.
140141	protections for women’s reproductive rights and lgbtq rights
140142	Kamala Harris is for the American people. She was a prosecutor who put bad people away asks got them off the streets. She was also a district attorney. She has alot of knowledge and experience in politics. Something that Donald Trump doesn't even come close to having !
140144	She is serious about doing a good job for the country and understands the complexity of the world. She may not be my favorite politician, but I trust her to do her best and keep in mind what is important when she is making the big decisions.
140145	SK
140146	she fights for the rights of all Americans and is looking to move forward and not set the country back
140152	Honesty, decency, ethical, support of social programs, advocate for women/choice, common sense
140157	I like her presentation
140158	Has a strong record of accomplishments in many arenas, including as Vice President of US, is able to lead this country from day one when elected, has experienced life in the middle class environment, she's compassionate, she believes a woman should be in charge of her own body, AND she's a women.
140159	I prioritize social issues. As a Democrat from California, she essentially has no choice but to go left on most social issues.
140161	DOMESTIC ISSUES
140163	She is smart,a careing person, a good[CHAR(10)]& decent person.
140166	SK
140168	Her values are the same as mine. I like the policies that she is proposing. I want reproductive freedom to be restored.
140169	I like that she has tacked back to support a strong anti-autocrat foreign policy, domestically she hasn't played the victim card (I believe she did last time).
140176	Intelligence, respects the rule of law, fighting for democracy, women’s rights, and rights in general, concise, has policies that will help middle class citizens and poor people (will benefit the vast majority), she will be the president of the whole country instead of an exclusive group.
140177	Her stance on women's health issues, gun control and climate control.
140180	protecting women’s health choices
140181	Brilliant prosecutor, attorney general and US senator and VP! High moral standards, charismatic, honest, intelligent leader. Dedicated to serving all people, especially working class!
140185	She seems like an intelligent brave woman
140187	she’s a democrat.
140188	she is not a convicted felon.
140189	command of issues; vision for future; policy ideas to improve people’s lives
140191	She is running against Trump
140192	A legitimate alternative to Trump who talks to most points I favor
140203	Democratic candidate. Policies I agree with. Does not have a criminal record. Represents many of my values. Represents diversity of our country. Appears to be honest and sincere. Inspiring.
140204	her values, her choice for vice president, she is not Donald Trump
140205	She is not 75+.
140206	She would be the first black woman to be president.
140207	I don't think i would like a woman president
140212	She is for the American people, ALL of them! She is not looking to turn this country into Dictatorship.
140214	Hardworking and aligns with my values.
140218	she’s a black woman and not Donald Trump.
140219	she is[CHAR(10)]not[CHAR(10)]Donald
140220	she is not a lier, felon,or crook
140222	She doesn't scare me or make me terribly uneasy that she'd be the figure head for the USA, like he (Trump) would.
140223	I do not know a lot about her but she at least is respectful of people and our country. [CHAR(10)]I wish we could forget Donald trump he made our country a joke
140224	Policies[CHAR(10)]Breath of fresh air on the platform
140225	I think she has good potential and means well. everyone wants to be successful and do the right thing. I feel too much pressure has been exerted on her.
140227	more progressive, is not Donald trump
140229	She's not Donald Trump
140232	Seeking green alternatives.
